Solyc02g065620.2.1	Zinc finger family protein (AHRD V1 **-- D7KV04_ARALY); contains Interpro domain(s)  IPR001357  BRCT 
Solyc02g065630.2.1	Myosin-like protein (AHRD V1 *--- Q9C717_ARATH)
Solyc02g065640.2.1	ABA-inducible protein-like protein (AHRD V1 ***- A8IXE3_BRACM)
Solyc02g065650.1.1	RING finger protein 13 (AHRD V1 *--- RNF13_BOVIN); contains Interpro domain(s)  IPR018957  Zinc finger, C3HC4 RING-type 
Solyc02g065660.2.1	WPP domain-interacting tail-anchored protein 1 (AHRD V1 ***- WIT1_ARATH)
Solyc02g065670.1.1	Glucosyltransferase-like protein (AHRD V1 **** O49492_ARATH); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase 
Solyc02g065680.2.1	Amino acid transporter (AHRD V1 ***- B9N1V7_POPTR); contains Interpro domain(s)  IPR013057  Amino acid transporter, transmembrane 
Solyc02g065690.2.1	Biogenesis of lysosome-related organelles complex-1 subunit 2 (AHRD V1 ***- C1BLD5_OSMMO); contains Interpro domain(s)  IPR019269  Biogenesis of lysosome-related organelles complex-1, subunit 2 
Solyc02g065700.2.1	Abhydrolase domain-containing protein FAM108B1 (AHRD V1 **-- C0HAS5_SALSA)
Solyc02g065710.1.1	GDSL esterase/lipase 7 (AHRD V1 ***- GLIP7_ARATH); contains Interpro domain(s)  IPR001087  Lipase, GDSL 
Solyc02g065720.2.1	RING finger protein 13 (AHRD V1 *-*- RNF13_MOUSE); contains Interpro domain(s)  IPR018957  Zinc finger, C3HC4 RING-type 
Solyc02g065730.1.1	MADS box transcription factor (AHRD V1 ***- Q689E7_GENTR); contains Interpro domain(s)  IPR002100  Transcription factor, MADS-box 
Solyc02g065740.2.1	Alpha-1 4-glucan-protein synthase (UDP-forming) (AHRD V1 **-* Q2HV87_MEDTR); contains Interpro domain(s)  IPR004901  Alpha-1,4-glucan-protein synthase, UDP-forming 
Solyc02g065750.1.1	Cytochrome P450
Solyc02g065760.1.1	Unknown Protein (AHRD V1)
Solyc02g065770.2.1	COBRA-like protein 4 (AHRD V1 ***- B6SST3_MAIZE); contains Interpro domain(s)  IPR017391  COBRA-like 
Solyc02g065780.1.1	Unknown Protein (AHRD V1)
Solyc02g065790.2.1	Phosphoprotein phosphatase (AHRD V1 *--- B6K603_SCHJY); contains Interpro domain(s)  IPR004274  NLI interacting factor 
Solyc02g065800.1.1	Transcription factor CYCLOIDEA (Fragment) (AHRD V1 *-*- CYCLD_ANTML); contains Interpro domain(s)  IPR005333  Transcription factor, TCP 
Solyc02g066800.1.1	Unknown Protein (AHRD V1)
Solyc02g066810.1.1	Unknown Protein (AHRD V1)
Solyc02g066820.1.1	Unknown Protein (AHRD V1)
Solyc02g066830.2.1	Ras GTPase-activating protein-binding protein 2 (AHRD V1 *--- B5X4A8_SALSA); contains Interpro domain(s)  IPR018222  Nuclear transport factor 2, Eukaryote 
Solyc02g066840.1.1	Unknown Protein (AHRD V1)
Solyc02g066850.1.1	Ninja-family protein 2 (AHRD V1 ***- NNJA2_WHEAT); contains Interpro domain(s)  IPR012463  Protein of unknown function DUF1675 
Solyc02g066860.1.1	Ninja-family protein Os07g0602900 (AHRD V1 ***- NNJA2_ORYSJ); contains Interpro domain(s)  IPR012463  Protein of unknown function DUF1675 
Solyc02g066870.1.1	Ninja-family protein 2 (AHRD V1 *-*- NNJA2_WHEAT); contains Interpro domain(s)  IPR012463  Protein of unknown function DUF1675 
Solyc02g066880.1.1	Unknown Protein (AHRD V1)
Solyc02g066890.1.1	Ninja-family protein 2 (AHRD V1 *-*- NNJA2_WHEAT); contains Interpro domain(s)  IPR012463  Protein of unknown function DUF1675 
Solyc02g066900.1.1	Ninja-family protein 1 (AHRD V1 *-*- NNJA1_WHEAT); contains Interpro domain(s)  IPR012463  Protein of unknown function DUF1675 
Solyc02g066910.2.1	Organic anion transporter (AHRD V1 **-* B6U937_MAIZE); contains Interpro domain(s)  IPR004853  Protein of unknown function DUF250 
Solyc02g066920.2.1	Genomic DNA chromosome 5 TAC clone K3 (AHRD V1 ***- Q9FL87_ARATH)
Solyc02g066930.2.1	RNA-binding protein (AHRD V1 *--* Q941H9_TOBAC); contains Interpro domain(s)  IPR015465  RNA recognition motif, glycine rich protein 
Solyc02g066940.2.1	Splicing factor -like RNA-binding domain protein (AHRD V1 *--* C7SB52_PLADU)
Solyc02g066950.2.1	Alpha amylase 2 (IC) (AHRD V1 *-*- Q010P9_OSTTA); contains Interpro domain(s)  IPR006589  Glycosyl hydrolase, family 13, subfamily, catalytic region 
Solyc02g066960.2.1	UDP-glycosyltransferase (AHRD V1 **** D7KLQ4_ARALY); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase 
Solyc02g066970.1.1	Unknown Protein (AHRD V1); contains Interpro domain(s)  IPR001092  Basic helix-loop-helix dimerisation region bHLH 
Solyc02g066980.1.1	Targeting protein for Xklp2 containing protein expressed (AHRD V1 *-*- Q10Q22_ORYSJ); contains Interpro domain(s)  IPR009675  Targeting for Xklp2 
Solyc02g066990.2.1	Unknown Protein (AHRD V1)
Solyc02g067000.1.1	Unknown Protein (AHRD V1)
Solyc02g067010.2.1	Guanine nucleotide exchange factor-like protein (AHRD V1 **-- Q9LZX8_ARATH); contains Interpro domain(s)  IPR000904  SEC7-like 
Solyc02g067020.1.1	Ethylene-responsive transcription factor 4 (AHRD V1 *-*- B6TYT8_MAIZE); contains Interpro domain(s)  IPR001471  Pathogenesis-related transcriptional factor and ERF, DNA-binding 
Solyc02g067030.2.1	5&apos-AMP-activated protein kinase catalytic subunit alpha-2 (AHRD V1 **** D1LWW2_SACKO); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase 
Solyc02g067040.2.1	cDNA clone J075153F01 full insert sequence (AHRD V1 *--- B7F9A7_ORYSJ); contains Interpro domain(s)  IPR009769  Protein of unknown function DUF1336 
Solyc02g067050.2.1	Uncharacterized ACR COG1678 family protein (AHRD V1 **-- B6SSQ6_MAIZE); contains Interpro domain(s)  IPR003774  Protein of unknown function DUF179 
Solyc02g067060.2.1	Glycosyltransferase (AHRD V1 ***- B9IK47_POPTR); contains Interpro domain(s)  IPR002495  Glycosyl transferase, family 8 
Solyc02g067070.2.1	Unknown Protein (AHRD V1); contains Interpro domain(s)  IPR003604  Zinc finger, U1-type 
Solyc02g067080.2.1	UDP-D-glucose dehydrogenase (AHRD V1 ***- D2WK25_GOSHI); contains Interpro domain(s)  IPR014028  UDP-glucose/GDP-mannose dehydrogenase, dimerisation and substrate-binding 
Solyc02g067090.2.1	Unknown Protein (AHRD V1)
Solyc02g067100.2.1	Targeting protein for Xklp2 containing protein expressed (AHRD V1 *-*- Q10Q22_ORYSJ); contains Interpro domain(s)  IPR009675  Targeting for Xklp2 
Solyc02g067110.1.1	Unknown Protein (AHRD V1)
Solyc02g067120.2.1	Genomic DNA chromosome 5 P1 clone MUL8 (AHRD V1 ***- Q9FLY2_ARATH); contains Interpro domain(s)  IPR018971  Protein of unknown function DUF1997 
Solyc02g067130.1.1	Serine/threonine-protein phosphatase 7 long form homolog (AHRD V1 *--- PPP7L_ARATH); contains Interpro domain(s)  IPR019557  Aminotransferase-like, plant mobile domain 
Solyc02g067140.1.1	Mutator-like transposase (AHRD V1 ***- Q9FW81_ORYSJ); contains Interpro domain(s)  IPR018289  MULE transposase, conserved domain 
Solyc02g067150.2.1	Pro-resilin (AHRD V1 **-- B6T4Q5_MAIZE)
Solyc02g067160.2.1	Xenotropic and polytropic retrovirus receptor (AHRD V1 **-- B2GU54_XENTR); contains Interpro domain(s)  IPR004331  SPX, N-terminal 
Solyc02g067170.1.1	Unknown Protein (AHRD V1)
Solyc02g067180.2.1	Cystathionine gamma synthase (AHRD V1 ***- Q6R8F6_SOLLC); contains Interpro domain(s)  IPR000277  Cys/Met metabolism, pyridoxal phosphate-dependent enzyme 
Solyc02g067190.2.1	UPF0497 membrane protein 2 (AHRD V1 ***- U4972_MAIZE); contains Interpro domain(s)  IPR006459  Uncharacterised protein family UPF0497, trans-membrane plant subgroup 
Solyc02g067200.2.1	Pentatricopeptide repeat-containing protein (AHRD V1 ***- D7M7B2_ARALY); contains Interpro domain(s)  IPR002885  Pentatricopeptide repeat 
Solyc02g067210.2.1	Nucleic acid binding protein (AHRD V1 **-* B6UDK8_MAIZE); contains Interpro domain(s)  IPR018111  K Homology, type 1, subgroup 
Solyc02g067220.2.1	Calmodulin-like protein (AHRD V1 *-*- B6TXW9_MAIZE); contains Interpro domain(s)  IPR011992  EF-Hand type 
Solyc02g067230.2.1	Dof zinc finger protein (AHRD V1 ***- C4B6D7_IPOBA); contains Interpro domain(s)  IPR003851  Zinc finger, Dof-type 
Solyc02g067240.1.1	Unknown Protein (AHRD V1)
Solyc02g067250.1.1	Structural constituent of ribosome (AHRD V1 **-- D7LAI5_ARALY); contains Interpro domain(s)  IPR008195  Ribosomal protein L34e 
Solyc02g067260.1.1	RING finger protein 6 (AHRD V1 *-*- RNF6_HUMAN); contains Interpro domain(s)  IPR018957  Zinc finger, C3HC4 RING-type 
Solyc02g067270.1.1	Unknown Protein (AHRD V1)
Solyc02g067280.1.1	RING finger family protein (AHRD V1 *-*- D6RU92_SILLA); contains Interpro domain(s)  IPR018957  Zinc finger, C3HC4 RING-type 
Solyc02g067290.2.1	Structural maintenance of chromosomes protein 4 (AHRD V1 **-- SMC4_ARATH)
Solyc02g067300.2.1	Structural maintenance of chromosomes protein 4 (AHRD V1 ***- D8TXU8_VOLCA)
Solyc02g067310.2.1	Zinc finger-homeodomain protein 1 (Fragment) (AHRD V1 **-- B0LK19_CUCSA); contains Interpro domain(s)  IPR006456  ZF-HD homeobox protein Cys/His-rich dimerisation region 
Solyc02g067320.1.1	Zinc finger-homeodomain protein 1 (Fragment) (AHRD V1 **-- B0LK19_CUCSA); contains Interpro domain(s)  IPR006456  ZF-HD homeobox protein Cys/His-rich dimerisation region 
Solyc02g067330.1.1	Zinc finger-homeodomain protein 1 (Fragment) (AHRD V1 **-- B0LK17_YUCFI); contains Interpro domain(s)  IPR006456  ZF-HD homeobox protein Cys/His-rich dimerisation region 
Solyc02g067340.2.1	MYB transcription factor (AHRD V1 **-* Q9SN78_ARATH); contains Interpro domain(s)  IPR015495  Myb transcription factor 
Solyc02g067350.2.1	cDNA clone J023065D24 full insert sequence (AHRD V1 *-*- B7EKP5_ORYSJ); contains Interpro domain(s)  IPR012870  Protein of unknown function DUF1666 
Solyc02g067360.2.1	Protease Do-like (S2 serine-type protease) (AHRD V1 **** Q7UQ70_RHOBA); contains Interpro domain(s)  IPR001254  Peptidase S1 and S6, chymotrypsin/Hap 
Solyc02g067370.2.1	Nucleosome assembly protein family (AHRD V1 **-- A9RDJ7_PHYPA); contains Interpro domain(s)  IPR002164  Nucleosome assembly protein (NAP) 
Solyc02g067380.2.1	Transcription factor style2.1 (AHRD V1 **-* B6CG45_SOLPN); contains Interpro domain(s)  IPR001092  Basic helix-loop-helix dimerisation region bHLH 
Solyc02g067390.2.1	RNA recognition motif containing protein (AHRD V1 **-- B6T581_MAIZE); contains Interpro domain(s)  IPR001395  Aldo/keto reductase 
Solyc02g067400.1.1	Glutaredoxin family protein (AHRD V1 *-*- D7MJF8_ARALY); contains Interpro domain(s)  IPR012335  Thioredoxin fold 
Solyc02g067410.1.1	Homeobox-leucine zipper-like protein (AHRD V1 *-*- Q3HRT1_PICGL); contains Interpro domain(s)  IPR001356  Homeobox 
Solyc02g067420.2.1	Ubiquitin-conjugating enzyme E2 2 (AHRD V1 ***- UBC2_WHEAT); contains Interpro domain(s)  IPR000608  Ubiquitin-conjugating enzyme, E2 
Solyc02g067430.2.1	WRKY transcription factor 73 (AHRD V1 *-*- Q6IEK8_ORYSI); contains Interpro domain(s)  IPR003657  DNA-binding WRKY 
Solyc02g067440.2.1	Cupin RmlC-type (AHRD V1 **-- B4F886_MAIZE); contains Interpro domain(s)  IPR012864  Protein of unknown function DUF1637 
Solyc02g067450.2.1	Pectate lyase family protein (AHRD V1 **** D7M6R5_ARALY); contains Interpro domain(s)  IPR002022  Pectate lyase/Amb allergen 
Solyc02g067460.2.1	Porin/voltage-dependent anion-selective channel protein (AHRD V1 **** A9P802_POPTR); contains Interpro domain(s)  IPR001925  Porin, eukaryotic type 
Solyc02g067470.2.1	SPFH domain / Band 7 family protein (AHRD V1 **-- Q6L4B0_SOLDE); contains Interpro domain(s)  IPR001107  Band 7 protein 
Solyc02g067480.2.1	Pyridine nucleotide-disulfide oxidoreductase (AHRD V1 **-* D3I8P7_9BACT); contains Interpro domain(s)  IPR004792  HI0933-like protein 
Solyc02g067490.2.1	At1g59710-like protein (Fragment) (AHRD V1 *-*- C7FCK4_ARALP); contains Interpro domain(s)  IPR007679  Protein of unknown function DUF569 
Solyc02g067500.2.1	Unknown Protein (AHRD V1)
Solyc02g067510.2.1	cDNA clone J023121M11 full insert sequence (AHRD V1 ***- B7F743_ORYSJ); contains Interpro domain(s)  IPR007679  Protein of unknown function DUF569 
Solyc02g067520.2.1	Unknown Protein (AHRD V1)
Solyc02g067530.2.1	Prolyl 4-hydroxylase alpha subunit-like protein (AHRD V1 ***- Q9LSI6_ARATH); contains Interpro domain(s)  IPR006620  Prolyl 4-hydroxylase, alpha subunit 
Solyc02g067540.2.1	Methyltransferase (AHRD V1 *-*- B9LJG4_CHLSY); contains Interpro domain(s)  IPR016065  Protein of unknown function methylase putative 
Solyc02g067550.1.1	Unknown Protein (AHRD V1)
Solyc02g067560.1.1	Receptor like kinase, RLK
Solyc02g067570.2.1	Paired amphipathic helix protein SIN3 (AHRD V1 *--- B3LJ52_YEAS1); contains Interpro domain(s)  IPR013194  Histone deacetylase interacting 
Solyc02g067580.2.1	B12D-like protein (AHRD V1 ***- D2XQY6_WOLAR); contains Interpro domain(s)  IPR010530  B12D 
Solyc02g067590.1.1	DNA-directed RNA polymerase subunit beta (AHRD V1 ***- D3WC93_NELNU); contains Interpro domain(s)  IPR007642  RNA polymerase Rpb2, domain 2 
Solyc02g067600.1.1	Unknown Protein (AHRD V1)
Solyc02g067610.1.1	Unknown Protein (AHRD V1)
Solyc02g067620.1.1	Zinc transporter like 1 (AHRD V1 *-*- Q9JKN2_MOUSE); contains Interpro domain(s)  IPR002524  Cation efflux protein 
Solyc02g067630.2.1	Polygalacturonase 1 (AHRD V1 ***- O22311_SOLLC); contains Interpro domain(s)  IPR000408  Regulator of chromosome condensation, RCC1  IPR000743  Glycoside hydrolase, family 28 
Solyc02g067640.2.1	Polygalacturonase 1 (AHRD V1 ***- O22311_SOLLC); contains Interpro domain(s)  IPR000408  Regulator of chromosome condensation, RCC1  IPR000743  Glycoside hydrolase, family 28 
Solyc02g067650.1.1	Polygalacturonase 1 (AHRD V1 ***- O22311_SOLLC); contains Interpro domain(s)  IPR012334  Pectin lyase fold 
Solyc02g067660.2.1	Phytoalexin deficient 4 (Fragment) (AHRD V1 **-- B2BDV5_ARALY); contains Interpro domain(s)  IPR002921  Lipase, class 3 
Solyc02g067670.2.1	Flap structure-specific endonuclease (AHRD V1 *--- A8NTE4_COPC7); contains Interpro domain(s)  IPR001044  Xeroderma pigmentosum group G protein 
Solyc02g067680.1.1	RING finger protein (AHRD V1 ***- C6EUD3_SOYBN); contains Interpro domain(s)  IPR018957  Zinc finger, C3HC4 RING-type 
Solyc02g067690.2.1	Glucosyltransferase-like protein (AHRD V1 **** Q9LEQ4_ARATH); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase 
Solyc02g067700.1.1	RING finger protein (AHRD V1 *-*- C6EUD3_SOYBN); contains Interpro domain(s)  IPR018957  Zinc finger, C3HC4 RING-type 
Solyc02g067710.1.1	HEAT repeat family protein (AHRD V1 **-- B4FX70_MAIZE); contains Interpro domain(s)  IPR016024  Armadillo-type fold 
Solyc02g067720.1.1	RNA exonuclease 4 (AHRD V1 ***- B6T4V3_MAIZE); contains Interpro domain(s)  IPR006055  Exonuclease 
Solyc02g067730.1.1	RNA exonuclease 4 (AHRD V1 ***- B6T4V3_MAIZE); contains Interpro domain(s)  IPR006055  Exonuclease 
Solyc02g067740.2.1	Genomic DNA chromosome 3 TAC clone K24A2 (AHRD V1 ***- Q9LIJ1_ARATH)
Solyc02g067750.2.1	Carbonic anhydrase (AHRD V1 ***- B1VK36_SOLLC); contains Interpro domain(s)  IPR001765  Carbonic anhydrase 
Solyc02g067760.2.1	MYB transcription factor (AHRD V1 **** B8YIB6_MIRJA); contains Interpro domain(s)  IPR015495  Myb transcription factor 
Solyc02g067770.2.1	Cysteine-rich receptor-like protein kinase 2 (AHRD V1 ***- CRK2_ARATH); contains Interpro domain(s)  IPR002902  Protein of unknown function DUF26 
Solyc02g067780.2.1	RLK, Receptor like protein, putative resistance protein with an antifungal domain
Solyc02g067790.2.1	Nitrate transporter (AHRD V1 **** Q5K409_9ROSI); contains Interpro domain(s)  IPR016196  Major facilitator superfamily, general substrate transporter 
Solyc02g067800.2.1	LOB domain protein 1 (AHRD V1 ***- B2KKZ3_ORYSJ); contains Interpro domain(s)  IPR004883  Lateral organ boundaries, LOB 
Solyc02g067810.1.1	Genomic DNA chromosome 5 TAC clone K21I16 (AHRD V1 ***- Q9FI64_ARATH)
Solyc02g067820.2.1	GPI transamidase component GAA1 (AHRD V1 *--* C9SRB1_VERA1); contains Interpro domain(s)  IPR017063  Glycosylphosphatidylinositol:protein transamidase complex, GAA1 component 
Solyc02g067830.2.1	Ribosomal protein S6 kinase alpha-3 (AHRD V1 *-** KS6A3_HUMAN); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase 
Solyc02g067840.2.1	Sucrase/ferredoxin domain protein (AHRD V1 *--- A1CK27_ASPCL); contains Interpro domain(s)  IPR009737  Sucraseferredoxin-like 
Solyc02g067850.2.1	Armadillo/beta-catenin repeat family protein (AHRD V1 **-- D7M6K3_ARALY); contains Interpro domain(s)  IPR011989  Armadillo-like helical 
Solyc02g067860.2.1	Aldose 1-epimerase family protein (AHRD V1 **** D7M6K2_ARALY); contains Interpro domain(s)  IPR014718  Glycoside hydrolase-type carbohydrate-binding, subgroup 
Solyc02g067870.2.1	Chalcone isomerase (AHRD V1 ***- Q0G877_CAMSI); contains Interpro domain(s)  IPR003466  Chalcone isomerase, subgroup 
Solyc02g067880.1.1	Uridine kinase (AHRD V1 **** B9IJL7_POPTR); contains Interpro domain(s)  IPR000764  Uridine kinase 
Solyc02g067890.2.1	Dehydration-responsive protein-like (AHRD V1 **-- Q653G1_ORYSJ); contains Interpro domain(s)  IPR004159  Protein of unknown function DUF248, methyltransferase putative 
Solyc02g067900.2.1	Transcription factor GTE6 (AHRD V1 *-*- B6UCC7_MAIZE)
Solyc02g067910.1.1	Unknown Protein (AHRD V1); contains Interpro domain(s)  IPR013177  Protein of unknown function DUF1713, mitochondria 
Solyc02g067920.2.1	Abhydrolase domain-containing protein FAM108B1 (AHRD V1 *--- C0HAS5_SALSA)
Solyc02g067930.2.1	Glycerol-3-phosphate dehydrogenase (AHRD V1 **** B4FZV9_MAIZE); contains Interpro domain(s)  IPR017751  NAD-dependent glycerol-3-phosphate dehydrogenase, eukaryotic 
Solyc02g067940.1.1	Unknown Protein (AHRD V1)
Solyc02g067950.2.1	Os02g0200800 protein (Fragment) (AHRD V1 *-*- Q0E303_ORYSJ); contains Interpro domain(s)  IPR009675  Targeting for Xklp2 
Solyc02g067960.1.1	Mitochondrial transcription termination factor family protein (AHRD V1 ***- D7KVZ3_ARALY); contains Interpro domain(s)  IPR003690  Mitochodrial transcription termination factor-related 
Solyc02g067970.2.1	Tripartite motif-containing 25 (AHRD V1 *--- Q6P7B3_RAT); contains Interpro domain(s)  IPR018957  Zinc finger, C3HC4 RING-type 
Solyc02g067980.2.1	Serine/threonine-protein phosphatase 2A regulatory subunit delta 1 isoform (AHRD V1 ***- Q0CAR1_ASPTN); contains Interpro domain(s)  IPR002554  Protein phosphatase 2A, regulatory B subunit, B56 
Solyc02g067990.2.1	Genomic DNA chromosome 5 P1 clone MNF13 (AHRD V1 ***- Q9FM25_ARATH)
Solyc02g068000.2.1	F-box family protein (AHRD V1 *-*- D7LQX6_ARALY)
Solyc02g068010.2.1	DNA-binding protein (Fragment) (AHRD V1 *-*- Q5IRD2_9ROSI); contains Interpro domain(s)  IPR006634  TRAM, LAG1 and CLN8 homology 
Solyc02g068020.1.1	Unknown Protein (AHRD V1)
Solyc02g068030.1.1	Unknown Protein (AHRD V1)
Solyc02g068040.2.1	Unknown Protein (AHRD V1)
Solyc02g068050.2.1	SET domain-containing protein (AHRD V1 ***- D7M620_ARALY); contains Interpro domain(s)  IPR001214  SET 
Solyc02g068060.2.1	Receptor like kinase, RLK
Solyc02g068070.2.1	Lipase (AHRD V1 **** Q1XBG1_RICCO); contains Interpro domain(s)  IPR006693  AB-hydrolase associated lipase region 
Solyc02g068080.2.1	Voltage-gated chloride channel (AHRD V1 **** Q96325_ARATH); contains Interpro domain(s)  IPR002251  Chloride channel plant CLC 
Solyc02g068090.2.1	30S ribosomal protein S21, chloroplastic (Fragment) (AHRD V1 *--- RR21_SPIOL); contains Interpro domain(s)  IPR001911  Ribosomal protein S21 
Solyc02g068100.2.1	SWI/SNF related matrix associated actin dependent regulator of chromatin subfamily d member 1 (AHRD V1 ***- Q802C8_DANRE); contains Interpro domain(s)  IPR019835  SWIB domain 
Solyc02g068110.2.1	Enhancer of yellow 2 transcription factor homolog (AHRD V1 **** C1BWN3_ESOLU); contains Interpro domain(s)  IPR018783  Transcription factor, enhancer of yellow 2 
Solyc02g068120.2.1	Gda-1 (AHRD V1 **-- B6TDG4_MAIZE); contains Interpro domain(s)  IPR013089  Kelch related 
Solyc02g068130.2.1	Mitochondrial import receptor subunit TOM20 (AHRD V1 ***- B3TM32_ELAGV); contains Interpro domain(s)  IPR010547  Plant specific mitochondrial import receptor subunit TOM20 
Solyc02g068140.2.1	Nodulin-like protein (AHRD V1 ***- B6U8U8_MAIZE); contains Interpro domain(s)  IPR010658  Nodulin-like 
Solyc02g068150.2.1	Nuclear transport factor 2 (AHRD V1 ***- B3TLR5_ELAGV); contains Interpro domain(s)  IPR018222  Nuclear transport factor 2, Eukaryote 
Solyc02g068160.1.1	Os02g0508100 protein (Fragment) (AHRD V1 ***- Q0E0Z9_ORYSJ)
Solyc02g068170.1.1	Unknown Protein (AHRD V1)
Solyc02g068180.2.1	Cobalt import ATP-binding protein CbiO 2 (AHRD V1 ***- D4QI89_ENTFC); contains Interpro domain(s)  IPR003439  ABC transporter-like 
Solyc02g068190.1.1	ATP-dependent RNA helicase (AHRD V1 **** B7S8F6_9HYME); contains Interpro domain(s)  IPR011545  DNA/RNA helicase, DEAD/DEAH box type, N-terminal 
Solyc02g068200.1.1	TCP family transcription factor (AHRD V1 *-** A6MCZ2_9ORYZ); contains Interpro domain(s)  IPR005333  Transcription factor, TCP 
Solyc02g068210.1.1	Indole-3-acetate beta-glucosyltransferase (AHRD V1 *-*- B6U5U7_MAIZE); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase 
Solyc02g068220.1.1	C-glucosyltransferase (AHRD V1 ***- C3W7B0_ORYSJ); contains Interpro domain(s)  IPR002213  UDP-glucuronosyl/UDP-glucosyltransferase 
Solyc02g068230.2.1	Membrane-anchored ubiquitin-fold protein 2 (AHRD V1 ***- D7M7C8_ARALY); contains Interpro domain(s)  IPR017000  Membrane-anchored ubiquitin-fold protein, HCG-1 
Solyc02g068240.2.1	Diacylglycerol acyltransferase family (AHRD V1 **** D7LTV7_ARALY); contains Interpro domain(s)  IPR007130  Diacylglycerol acyltransferase 
Solyc02g068250.2.1	Unknown Protein (AHRD V1)
Solyc02g068260.1.1	Integral membrane protein (AHRD V1 *-*- B6U6B5_MAIZE); contains Interpro domain(s)  IPR008217  Protein of unknown function DUF125, transmembrane 
Solyc02g068270.2.1	Unknown Protein (AHRD V1)
Solyc02g068280.2.1	Subtilisin-like serine protease (AHRD V1 **-* C3VDI0_CARPA); contains Interpro domain(s)  IPR015500  Peptidase S8, subtilisin-related 
Solyc02g068290.1.1	Unknown Protein (AHRD V1)
Solyc02g068300.2.1	Receptor-like kinase (AHRD V1 ***- A7VM32_MARPO); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase 
Solyc02g068310.2.1	2-oxoglutarate-dependent dioxygenase (AHRD V1 **-* B9GJL0_POPTR); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase 
Solyc02g068320.2.1	2-oxoglutarate-dependent dioxygenase (AHRD V1 **-- B9GJL0_POPTR); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase 
Solyc02g068330.1.1	1-aminocyclopropane-1-carboxylate oxidase 3 (AHRD V1 **-* ACCO3_CUCME); contains Interpro domain(s)  IPR005123  Oxoglutarate and iron-dependent oxygenase 
Solyc02g068340.2.1	Kinesin-like calmodulin binding protein (AHRD V1 **** Q7Y1U0_GOSHI); contains Interpro domain(s)  IPR001752  Kinesin, motor region 
Solyc02g068350.1.1	Uroporphyrinogen-III synthase (AHRD V1 ***- Q3M8K2_ANAVT); contains Interpro domain(s)  IPR003754  Tetrapyrrole biosynthesis, uroporphyrinogen III synthase 
Solyc02g068360.2.1	Tafazzin (AHRD V1 ***- C1BN32_9MAXI); contains Interpro domain(s)  IPR000872  Tafazzin 
Solyc02g068370.2.1	Receptor-like kinase (AHRD V1 *-*- A7VM65_9VIRI); contains Interpro domain(s)  IPR002290  Serine/threonine protein kinase 
Solyc02g068380.2.1	N-carbamoyl-L-amino-acid amidohydrolase (AHRD V1 **-- Q1LHR1_RALME); contains Interpro domain(s)  IPR010158  Amidase, hydantoinase/carbamoylase 
Solyc02g068390.2.1	Mitochondrial inner membrane protease subunit 1 (AHRD V1 **-- B6T7U7_MAIZE); contains Interpro domain(s)  IPR000223  Peptidase S26A, signal peptidase I 
Solyc02g068400.2.1	AT4G20050-like protein (Fragment) (AHRD V1 *-*- D6PQZ2_9BRAS); contains Interpro domain(s)  IPR011050  Pectin lyase fold/virulence factor 
Solyc02g068410.1.1	AT4G20050-like protein (Fragment) (AHRD V1 *-*- D6PQZ2_9BRAS); contains Interpro domain(s)  IPR011050  Pectin lyase fold/virulence factor 
Solyc02g068420.2.1	Glioma tumor suppressor candidate region gene 2 (AHRD V1 **-- Q6QLN3_RAT); contains Interpro domain(s)  IPR011211  Tumor suppressor protein Gltscr2 
Solyc02g068430.2.1	Choline-phosphate cytidylyltransferase B (AHRD V1 **** B4F7T8_MAIZE); contains Interpro domain(s)  IPR004820  Cytidylyltransferase 
Solyc02g068440.2.1	RNA binding protein (AHRD V1 *-** B6U487_MAIZE); contains Interpro domain(s)  IPR012677  Nucleotide-binding, alpha-beta plait 
Solyc02g068450.2.1	Vacuolar ATPase F subunit (AHRD V1 **** B8Y6I1_HEVBR); contains Interpro domain(s)  IPR005772  ATPase, V1 complex, subunit F, eukaryotic 
Solyc02g068460.1.1	Unknown Protein (AHRD V1); contains Interpro domain(s)  IPR008889  VQ 
Solyc02g068470.1.1	Unknown Protein (AHRD V1)
Solyc02g068480.2.1	Ubiquitin carboxyl-terminal hydrolase family protein (AHRD V1 ***- D7ME50_ARALY); contains Interpro domain(s)  IPR001394  Peptidase C19, ubiquitin carboxyl-terminal hydrolase 2 
Solyc02g068490.2.1	Copper transporting ATPase 2 (AHRD V1 **** D4N237_SPAAU); contains Interpro domain(s)  IPR006403  ATPase, P type, cation/copper-transporter 
Solyc02g068500.2.1	Thioredoxin o (AHRD V1 *-*- B9MUN0_POPTR); contains Interpro domain(s)  IPR015467  Thioredoxin, core 
