itag,length
Solyc03g032040.2.1,2178
Solyc03g032050.2.1,1218
Solyc03g032070.2.1,1410
Solyc03g032090.1.1,1284
Solyc03g032100.1.1,894
Solyc03g032120.2.1,579
Solyc03g032130.2.1,342
Solyc03g032140.2.1,723
Solyc03g032150.2.1,1257
Solyc03g032160.2.1,1674
Solyc03g032180.2.1,2118
Solyc03g032190.2.1,1296
Solyc03g032210.2.1,1767
Solyc03g032240.2.1,2364
Solyc03g033260.2.1,477
Solyc03g033310.2.1,666
Solyc03g033320.2.1,819
Solyc03g033330.2.1,726
Solyc03g033340.2.1,1194
Solyc03g033360.1.1,1170
Solyc03g033370.2.1,249
Solyc03g033380.2.1,1455
Solyc03g033390.2.1,834
Solyc03g033400.2.1,2373
Solyc03g033420.2.1,594
Solyc03g033440.1.1,330
Solyc03g033450.2.1,1335
Solyc03g033460.2.1,2253
Solyc03g033470.2.1,948
Solyc03g033480.2.1,516
Solyc03g033490.1.1,936
Solyc03g033500.2.1,660
Solyc03g033510.2.1,1965
Solyc03g033520.2.1,1887
Solyc03g033530.2.1,1776
Solyc03g033540.2.1,1698
Solyc03g033550.2.1,654
Solyc03g033560.2.1,996
Solyc03g033580.2.1,957
Solyc03g033600.2.1,399
Solyc03g033610.1.1,3387
Solyc03g033620.2.1,1434
Solyc03g033630.2.1,2490
Solyc03g033640.2.1,1986
Solyc03g033650.2.1,669
Solyc03g033720.2.1,1641
Solyc03g033820.1.1,1419
Solyc03g033830.2.1,810
Solyc03g033840.2.1,1518
Solyc03g033850.2.1,843
Solyc03g033860.1.1,765
Solyc03g033920.1.1,159
Solyc03g033950.2.1,1464
Solyc03g033980.2.1,1221
Solyc03g033990.1.1,846
Solyc03g034010.2.1,435
Solyc03g034020.2.1,2115
Solyc03g034050.2.1,213
Solyc03g034070.1.1,369
Solyc03g034080.2.1,1437
Solyc03g034090.2.1,549
Solyc03g034170.2.1,858
Solyc03g034180.2.1,777
Solyc03g034190.2.1,531
Solyc03g034200.2.1,2124
Solyc03g034220.2.1,543
Solyc03g034250.2.1,765
Solyc03g034270.2.1,1023
Solyc03g034300.1.1,444
Solyc03g034430.1.1,1329
Solyc03g034440.2.1,1242
Solyc03g034450.2.1,1179
Solyc03g043600.1.1,2007
Solyc03g043610.1.1,486
Solyc03g043620.1.1,342
Solyc03g043630.1.1,168
Solyc03g043660.2.1,3306
Solyc03g043720.2.1,288
Solyc03g043750.2.1,1635
Solyc03g043760.2.1,1689
Solyc03g043770.2.1,1470
Solyc03g043870.2.1,861
Solyc03g043880.2.1,1257
Solyc03g043950.2.1,1812
Solyc03g043960.2.1,555
Solyc03g044000.1.1,441
Solyc03g044010.2.1,825
Solyc03g044020.2.1,3669
Solyc03g044030.1.1,1086
Solyc03g044040.1.1,573
Solyc03g044060.2.1,2604
Solyc03g044080.2.1,252
Solyc03g044140.2.1,1002
Solyc03g044150.2.1,2316
Solyc03g044160.1.1,2454
Solyc03g044190.2.1,1137
Solyc03g044220.1.1,1650
Solyc03g044260.2.1,483
Solyc03g044270.2.1,1206
Solyc03g044300.2.1,1206
Solyc03g044330.1.1,1980
Solyc03g044350.1.1,897
Solyc03g044360.1.1,1725
Solyc03g044370.2.1,1203
Solyc03g044380.2.1,2766
Solyc03g044430.2.1,1701
Solyc03g044470.2.1,945
Solyc03g044510.2.1,1023
Solyc03g044610.1.1,2025
Solyc03g044620.2.1,3873
Solyc03g044660.2.1,1074
Solyc03g044710.2.1,1233
Solyc03g044720.1.1,930
Solyc03g044740.2.1,825
Solyc03g044910.1.1,864
Solyc03g044970.1.1,246
Solyc03g045000.1.1,234
Solyc03g045050.2.1,3504
Solyc03g045060.2.1,1593
Solyc03g045070.1.1,1383
Solyc03g045090.2.1,1041
Solyc03g045100.1.1,243
Solyc03g045110.2.1,138
Solyc03g045140.2.1,2448
Solyc03g046340.2.1,1971
Solyc03g046350.2.1,849
Solyc03g046410.2.1,252
Solyc03g046450.2.1,6312
Solyc03g046470.2.1,2058
Solyc03g046570.2.1,675
Solyc03g046580.1.1,1002
Solyc03g046590.2.1,2406
Solyc03g051590.1.1,603
Solyc03g051770.2.1,948
Solyc03g051780.1.1,1572
Solyc03g051790.2.1,2433
Solyc03g051810.2.1,1002
Solyc03g051900.2.1,5940
Solyc03g051920.2.1,1062
Solyc03g051940.1.1,513
Solyc03g051950.2.1,477
Solyc03g051970.2.1,1215
Solyc03g052980.2.1,1839
Solyc03g053010.2.1,1980
Solyc03g053020.2.1,828
Solyc03g053030.1.1,1296
Solyc03g053080.1.1,1809
Solyc03g053100.2.1,1818
Solyc03g053110.2.1,696
Solyc03g058160.2.1,663
Solyc03g058190.2.1,2019
Solyc03g058230.1.1,156
Solyc03g058300.1.1,291
Solyc03g058340.2.1,222
Solyc03g058350.2.1,3471
Solyc03g058370.1.1,1038
Solyc03g058380.2.1,2286
Solyc03g058390.1.1,1221
Solyc03g058430.1.1,1137
Solyc03g058470.1.1,1716
Solyc03g058480.1.1,432
Solyc03g058500.1.1,231
Solyc03g058840.1.1,177
Solyc03g058860.2.1,1185
Solyc03g058880.2.1,1983
Solyc03g058900.1.1,588
Solyc03g058910.2.1,1197
Solyc03g058920.2.1,1017
Solyc03g058930.2.1,324
Solyc03g058950.2.1,1929
Solyc03g058970.2.1,1968
Solyc03g058990.1.1,174
Solyc03g059010.2.1,1785
Solyc03g059030.2.1,1695
Solyc03g059070.2.1,1437
Solyc03g059090.1.1,201
Solyc03g059100.1.1,981
Solyc03g059110.1.1,174
Solyc03g059160.1.1,729
Solyc03g059170.2.1,375
Solyc03g059180.2.1,1605
Solyc03g059190.2.1,894
Solyc03g059250.2.1,1956
Solyc03g059260.2.1,1494
Solyc03g059310.2.1,705
Solyc03g059320.1.1,174
Solyc03g059330.1.1,408
Solyc03g059350.2.1,408
Solyc03g059360.1.1,489
Solyc03g059420.2.1,4863
Solyc03g059490.1.1,3378
Solyc03g060510.2.1,1329
Solyc03g061540.1.1,339
Solyc03g061560.1.1,447
Solyc03g061570.1.1,228
Solyc03g061590.2.1,546
Solyc03g061600.2.1,1956
Solyc03g062650.2.1,6525
Solyc03g062660.2.1,2622
Solyc03g062680.2.1,630
Solyc03g062700.2.1,1722
Solyc03g062710.2.1,1158
Solyc03g062720.2.1,1056
Solyc03g062730.2.1,213
Solyc03g062740.2.1,159
Solyc03g062780.1.1,192
Solyc03g062790.2.1,888
Solyc03g062830.2.1,846
Solyc03g062840.1.1,1452
Solyc03g062850.1.1,1773
Solyc03g062860.1.1,2700
Solyc03g062870.1.1,360
Solyc03g062890.2.1,471
Solyc03g062900.2.1,1569
Solyc03g062910.2.1,507
Solyc03g062940.2.1,951
Solyc03g063030.2.1,708
Solyc03g063040.2.1,372
Solyc03g063060.2.1,600
Solyc03g063090.1.1,210
Solyc03g063110.2.1,1182
Solyc03g063140.2.1,525
Solyc03g063160.1.1,1851
Solyc03g063200.2.1,492
Solyc03g063210.2.1,1710
Solyc03g063220.1.1,4827
Solyc03g063240.2.1,966
Solyc03g063270.2.1,663
Solyc03g063280.2.1,1380
Solyc03g063290.2.1,684
Solyc03g063320.2.1,1164
Solyc03g063340.2.1,1293
Solyc03g063350.2.1,567
Solyc03g063360.2.1,177
Solyc03g063380.1.1,195
Solyc03g063390.1.1,1698
Solyc03g063480.2.1,606
Solyc03g063500.1.1,507
Solyc03g063510.1.1,660
Solyc03g063560.2.1,4866
Solyc03g063600.2.1,1209
Solyc03g063640.1.1,192
Solyc03g063650.1.1,2280
Solyc03g063680.1.1,2088
Solyc03g063690.1.1,1791
Solyc03g063720.2.1,1941
Solyc03g063750.2.1,2358
Solyc03g063760.2.1,1971
Solyc03g063770.1.1,729
Solyc03g063780.1.1,336
Solyc03g063790.1.1,402
Solyc03g063880.2.1,1128
Solyc03g063890.1.1,1182
Solyc03g063940.1.1,2481
Solyc03g063970.2.1,564
Solyc03g064010.2.1,1887
Solyc03g064030.2.1,1074
Solyc03g064040.1.1,264
Solyc03g065050.1.1,153
Solyc03g065240.1.1,153
Solyc03g065250.2.1,1881
Solyc03g065320.1.1,279
Solyc03g065340.2.1,2901
Solyc03g071550.1.1,2892
Solyc03g071560.2.1,945
Solyc03g071570.2.1,1515
Solyc03g071590.2.1,1404
Solyc03g071620.1.1,426
Solyc03g071650.1.1,528
Solyc03g071720.2.1,963
Solyc03g071750.2.1,1452
Solyc03g071770.1.1,294
Solyc03g071790.1.1,702
Solyc03g077910.2.1,1335
Solyc03g077950.1.1,1104
Solyc03g077980.2.1,873
Solyc03g078000.2.1,1638
Solyc03g078010.1.1,501
Solyc03g078020.2.1,852
Solyc03g078060.2.1,534
Solyc03g078070.1.1,477
Solyc03g078080.2.1,981
Solyc03g078100.2.1,1662
Solyc03g078110.1.1,351
Solyc03g078120.2.1,453
Solyc03g078150.2.1,1578
Solyc03g078160.2.1,579
Solyc03g078230.2.1,1185
Solyc03g078290.2.1,459
Solyc03g078300.1.1,4026
Solyc03g078350.2.1,384
Solyc03g078380.1.1,786
Solyc03g078390.2.1,3276
Solyc03g078400.2.1,1134
Solyc03g078510.1.1,150
Solyc03g078520.2.1,1824
Solyc03g078570.2.1,624
Solyc03g078610.2.1,927
Solyc03g078640.1.1,1455
Solyc03g078740.1.1,2109
Solyc03g078770.2.1,1407
Solyc03g078780.1.1,771
Solyc03g078800.2.1,822
Solyc03g078810.2.1,1374
Solyc03g079850.2.1,828
Solyc03g079860.1.1,768
Solyc03g079870.1.1,195
Solyc03g079910.2.1,1650
Solyc03g079920.2.1,2364
Solyc03g079930.2.1,777
Solyc03g079940.2.1,783
Solyc03g079950.2.1,1203
Solyc03g080010.2.1,2481
Solyc03g080020.2.1,612
Solyc03g080040.1.1,393
Solyc03g080050.2.1,1275
Solyc03g080060.1.1,1926
Solyc03g080090.2.1,1890
Solyc03g080130.1.1,393
Solyc03g080140.2.1,3528
Solyc03g080160.2.1,615
Solyc03g080170.2.1,462
Solyc03g081220.1.1,870
Solyc03g081300.2.1,1479
Solyc03g081310.2.1,1038
Solyc03g081320.2.1,1260
Solyc03g082380.2.1,843
Solyc03g082390.2.1,1158
Solyc03g082400.2.1,1320
Solyc03g082410.2.1,93
Solyc03g082420.2.1,708
Solyc03g082430.1.1,1377
Solyc03g082440.1.1,1323
Solyc03g082450.2.1,3348
Solyc03g082480.2.1,600
Solyc03g082490.2.1,2619
Solyc03g082500.2.1,1797
Solyc03g082540.2.1,963
Solyc03g082560.2.1,1113
Solyc03g082570.2.1,387
Solyc03g082580.2.1,957
Solyc03g082590.2.1,1680
Solyc03g082600.2.1,573
Solyc03g082610.1.1,624
Solyc03g082620.2.1,1977
Solyc03g082630.2.1,1134
Solyc03g082640.1.1,1332
Solyc03g082660.2.1,1389
Solyc03g082680.2.1,7233
Solyc03g082710.2.1,696
Solyc03g082720.2.1,324
Solyc03g082740.2.1,321
Solyc03g082770.1.1,969
Solyc03g082790.2.1,729
Solyc03g082800.1.1,150
Solyc03g082820.2.1,885
Solyc03g082830.1.1,2328
Solyc03g082850.2.1,1545
Solyc03g082860.2.1,1074
Solyc03g082870.2.1,2295
Solyc03g082880.1.1,210
Solyc03g082890.2.1,702
Solyc03g082910.2.1,1041
Solyc03g082920.2.1,2004
Solyc03g082940.2.1,2865
Solyc03g082960.2.1,1188
Solyc03g082970.2.1,504
Solyc03g082980.2.1,2007
Solyc03g082990.2.1,1707
Solyc03g083000.2.1,1221
Solyc03g083010.2.1,1185
Solyc03g083020.2.1,276
Solyc03g083030.2.1,978
Solyc03g083060.2.1,2472
Solyc03g083070.1.1,792
Solyc03g083090.2.1,1926
Solyc03g083100.2.1,1410
Solyc03g083130.1.1,3954
Solyc03g083150.2.1,204
Solyc03g083160.1.1,906
Solyc03g083170.2.1,2337
Solyc03g083190.1.1,810
Solyc03g083210.2.1,1314
Solyc03g083240.2.1,2397
Solyc03g083250.2.1,1713
Solyc03g083260.1.1,234
Solyc03g083270.2.1,942
Solyc03g083280.2.1,1527
Solyc03g083290.2.1,426
Solyc03g083300.2.1,474
Solyc03g083310.2.1,1149
Solyc03g083330.2.1,2262
Solyc03g083350.2.1,1743
Solyc03g083380.2.1,1503
Solyc03g083390.2.1,909
Solyc03g083400.2.1,828
Solyc03g083410.2.1,2946
Solyc03g083420.2.1,2013
Solyc03g083430.2.1,1530
Solyc03g083440.2.1,6681
Solyc03g083450.1.1,336
Solyc03g083510.2.1,1161
Solyc03g083520.2.1,453
Solyc03g083530.2.1,456
Solyc03g083540.2.1,693
Solyc03g083550.1.1,1221
Solyc03g083560.1.1,1050
Solyc03g083570.2.1,561
Solyc03g083580.2.1,2133
Solyc03g083590.2.1,3504
Solyc03g083610.2.1,714
Solyc03g083620.1.1,366
Solyc03g083650.2.1,1467
Solyc03g083670.1.1,357
Solyc03g083720.1.1,630
Solyc03g083740.1.1,1254
Solyc03g083790.1.1,2100
Solyc03g083900.2.1,1779
Solyc03g083910.2.1,1947
Solyc03g083960.2.1,1104
Solyc03g083970.2.1,1188
Solyc03g093140.2.1,1566
Solyc03g093150.1.1,2943
Solyc03g093160.2.1,1068
Solyc03g093200.2.1,627
Solyc03g093210.2.1,1359
Solyc03g093220.2.1,288
Solyc03g093240.2.1,1683
Solyc03g093250.1.1,1944
Solyc03g093260.2.1,1659
Solyc03g093300.2.1,1341
Solyc03g093310.2.1,1503
Solyc03g093350.2.1,2172
Solyc03g093360.2.1,540
Solyc03g093380.1.1,2598
Solyc03g093400.2.1,2109
Solyc03g093430.2.1,1134
Solyc03g093440.2.1,1053
Solyc03g093450.2.1,2427
Solyc03g093460.2.1,1080
Solyc03g093470.2.1,792
Solyc03g093480.2.1,6450
Solyc03g093490.2.1,951
Solyc03g093500.2.1,516
Solyc03g093510.2.1,1086
Solyc03g093520.2.1,1620
Solyc03g093590.1.1,213
Solyc03g093600.1.1,573
Solyc03g093630.1.1,1821
Solyc03g093640.2.1,1917
Solyc03g093680.2.1,456
Solyc03g093690.2.1,774
Solyc03g093700.1.1,2520
Solyc03g093710.1.1,2517
Solyc03g093760.1.1,2394
Solyc03g093820.1.1,330
Solyc03g093830.2.1,939
Solyc03g093840.1.1,714
Solyc03g093850.1.1,1830
Solyc03g093860.1.1,1314
Solyc03g093880.2.1,864
Solyc03g093970.2.1,1809
Solyc03g093990.2.1,1569
Solyc03g094010.2.1,1236
Solyc03g094030.2.1,603
Solyc03g094060.2.1,888
Solyc03g094080.2.1,480
Solyc03g094090.2.1,318
Solyc03g094160.2.1,1086
Solyc03g095180.2.1,912
Solyc03g095190.2.1,603
Solyc03g095200.1.1,2133
Solyc03g095220.2.1,780
Solyc03g095230.2.1,636
Solyc03g095240.2.1,2025
Solyc03g095250.2.1,3240
Solyc03g095260.2.1,1437
Solyc03g095290.2.1,1455
Solyc03g095300.2.1,435
Solyc03g095310.2.1,1599
Solyc03g095360.2.1,1047
Solyc03g095370.2.1,111
Solyc03g095380.1.1,1311
Solyc03g095410.2.1,2493
Solyc03g095450.2.1,1317
Solyc03g095460.1.1,537
Solyc03g095470.2.1,1104
Solyc03g095490.2.1,1908
Solyc03g095600.1.1,1653
Solyc03g095610.2.1,2637
Solyc03g095620.2.1,1614
Solyc03g095670.1.1,729
Solyc03g095680.1.1,3315
Solyc03g095690.2.1,915
Solyc03g095700.1.1,426
Solyc03g095710.2.1,1362
Solyc03g095720.2.1,1146
Solyc03g095730.2.1,183
Solyc03g095760.2.1,1431
Solyc03g095770.2.1,822
Solyc03g095820.2.1,1173
Solyc03g095840.2.1,1035
Solyc03g095850.1.1,1782
Solyc03g095860.2.1,1431
Solyc03g095880.1.1,153
Solyc03g095890.1.1,342
Solyc03g095960.1.1,990
Solyc03g095970.2.1,780
Solyc03g095980.2.1,630
Solyc03g095990.1.1,639
Solyc03g096000.2.1,5109
Solyc03g096070.2.1,2655
Solyc03g096080.2.1,390
Solyc03g096090.2.1,1461
Solyc03g096170.1.1,192
Solyc03g096220.2.1,255
Solyc03g096270.1.1,828
Solyc03g096290.2.1,861
Solyc03g096360.2.1,363
Solyc03g096390.2.1,1326
Solyc03g096460.2.1,555
Solyc03g096640.2.1,807
Solyc03g096660.1.1,588
Solyc03g096670.2.1,1221
Solyc03g096730.2.1,1086
Solyc03g096780.1.1,342
Solyc03g096790.2.1,1815
Solyc03g096800.2.1,3489
Solyc03g096810.2.1,1116
Solyc03g096820.2.1,1716
Solyc03g096830.2.1,4428
Solyc03g096840.2.1,378
Solyc03g096850.2.1,837
Solyc03g096860.2.1,633
Solyc03g096870.2.1,1362
Solyc03g096880.2.1,2166
Solyc03g096890.1.1,3405
Solyc03g096900.2.1,2625
Solyc03g096910.2.1,399
Solyc03g096920.2.1,3228
Solyc03g096930.2.1,1497
Solyc03g096940.2.1,474
Solyc03g096950.2.1,1512
Solyc03g096960.2.1,390
Solyc03g096980.1.1,1527
Solyc03g096990.2.1,1641
Solyc03g097000.2.1,3198
Solyc03g097010.2.1,339
Solyc03g097020.2.1,1899
Solyc03g097030.2.1,1713
Solyc03g097050.2.1,3420
Solyc03g097060.2.1,1527
Solyc03g097070.2.1,1191
Solyc03g097110.2.1,837
Solyc03g097120.2.1,1476
Solyc03g097130.2.1,1287
Solyc03g097140.2.1,765
Solyc03g097160.2.1,2616
Solyc03g097170.2.1,987
Solyc03g097180.2.1,960
Solyc03g097190.2.1,2910
Solyc03g097200.2.1,294
Solyc03g097210.2.1,1458
Solyc03g097240.2.1,378
Solyc03g097250.2.1,492
Solyc03g097260.2.1,4521
Solyc03g097270.2.1,708
Solyc03g097280.2.1,2583
Solyc03g097290.2.1,3033
Solyc03g097300.2.1,1101
Solyc03g097310.2.1,1353
Solyc03g097340.1.1,1029
Solyc03g097350.2.1,2850
Solyc03g097360.2.1,483
Solyc03g097370.2.1,2964
Solyc03g097380.2.1,993
Solyc03g097400.1.1,177
Solyc03g097450.2.1,1722
Solyc03g097460.2.1,2082
Solyc03g097470.2.1,1296
Solyc03g097490.2.1,1617
Solyc03g097520.2.1,2505
Solyc03g097550.2.1,1152
Solyc03g097630.2.1,1317
Solyc03g097640.2.1,231
Solyc03g097670.2.1,5133
Solyc03g097680.2.1,1110
Solyc03g097690.2.1,1716
Solyc03g097710.2.1,2034
Solyc03g097720.2.1,546
Solyc03g097740.1.1,1665
Solyc03g097750.2.1,582
Solyc03g097760.2.1,726
Solyc03g097780.2.1,1344
Solyc03g097790.2.1,912
Solyc03g097800.2.1,264
Solyc03g097820.1.1,993
Solyc03g097830.2.1,1440
Solyc03g097850.1.1,2532
Solyc03g097900.2.1,786
Solyc03g097910.2.1,1290
Solyc03g097920.1.1,1008
Solyc03g097940.2.1,2334
Solyc03g097950.2.1,507
Solyc03g097970.2.1,390
Solyc03g097980.2.1,2553
Solyc03g097990.2.1,582
Solyc03g098000.2.1,1161
Solyc03g098020.2.1,1227
Solyc03g098050.2.1,450
Solyc03g098060.1.1,540
Solyc03g098100.2.1,588
Solyc03g098110.2.1,1158
Solyc03g098120.2.1,276
Solyc03g098130.2.1,540
Solyc03g098140.2.1,1032
Solyc03g098150.2.1,3498
Solyc03g098160.2.1,3543
Solyc03g098170.2.1,732
Solyc03g098180.2.1,993
Solyc03g098200.2.1,2166
Solyc03g098210.2.1,2181
Solyc03g098220.2.1,1470
Solyc03g098230.2.1,1278
Solyc03g098240.2.1,1509
Solyc03g098250.2.1,1590
Solyc03g098280.2.1,2943
Solyc03g098300.1.1,1167
Solyc03g098320.2.1,1377
Solyc03g098330.2.1,1254
Solyc03g098340.2.1,1677
Solyc03g098410.1.1,354
Solyc03g098420.2.1,2460
Solyc03g098430.2.1,852
Solyc03g098440.2.1,798
Solyc03g098450.2.1,1119
Solyc03g098460.2.1,1158
Solyc03g098470.2.1,267
Solyc03g098590.2.1,1110
Solyc03g098600.2.1,2178
Solyc03g098610.2.1,2493
Solyc03g098620.2.1,1164
Solyc03g098630.2.1,3294
Solyc03g098640.2.1,903
Solyc03g098650.2.1,393
Solyc03g098660.2.1,651
Solyc03g098710.1.1,675
Solyc03g098730.1.1,741
Solyc03g098750.2.1,264
Solyc03g098780.1.1,666
Solyc03g098790.1.1,663
Solyc03g104810.2.1,1461
Solyc03g104840.1.1,1269
Solyc03g110860.2.1,693
Solyc03g110880.2.1,3636
Solyc03g110900.2.1,3588
Solyc03g110910.2.1,1698
Solyc03g110920.2.1,576
Solyc03g110930.2.1,534
Solyc03g110940.2.1,1461
Solyc03g110960.2.1,702
Solyc03g110970.2.1,990
Solyc03g110980.2.1,507
Solyc03g111010.2.1,1014
Solyc03g111030.2.1,1683
Solyc03g111050.2.1,2052
Solyc03g111080.2.1,147
Solyc03g111090.2.1,2346
Solyc03g111120.2.1,735
Solyc03g111130.1.1,1653
Solyc03g111140.2.1,1716
Solyc03g111150.2.1,1314
Solyc03g111160.2.1,1119
Solyc03g111170.2.1,1659
Solyc03g111180.2.1,1449
Solyc03g111200.2.1,735
Solyc03g111210.2.1,1947
Solyc03g111230.2.1,408
Solyc03g111250.2.1,1581
Solyc03g111260.2.1,2559
Solyc03g111270.2.1,504
Solyc03g111310.2.1,1281
Solyc03g111320.1.1,1998
Solyc03g111330.2.1,699
Solyc03g111340.2.1,1281
Solyc03g111350.2.1,681
Solyc03g111360.2.1,1416
Solyc03g111370.2.1,849
Solyc03g111380.2.1,1425
Solyc03g111390.2.1,2031
Solyc03g111400.1.1,1599
Solyc03g111410.2.1,1032
Solyc03g111440.1.1,222
Solyc03g111500.2.1,1506
Solyc03g111550.2.1,993
Solyc03g111560.2.1,2460
Solyc03g111570.2.1,3357
Solyc03g111580.2.1,1530
Solyc03g111590.2.1,3759
Solyc03g111600.2.1,1134
Solyc03g111610.2.1,954
Solyc03g111630.2.1,2088
Solyc03g111640.2.1,2058
Solyc03g111650.2.1,1908
Solyc03g111660.2.1,1941
Solyc03g111670.2.1,1980
Solyc03g111680.2.1,3063
Solyc03g111690.2.1,1212
Solyc03g111700.2.1,1014
Solyc03g111710.2.1,1038
Solyc03g111720.2.1,591
Solyc03g111730.2.1,1083
Solyc03g111740.2.1,1449
Solyc03g111770.2.1,1116
Solyc03g111790.2.1,315
Solyc03g111830.2.1,894
Solyc03g111840.2.1,891
Solyc03g111850.2.1,1236
Solyc03g111870.2.1,1314
Solyc03g111970.2.1,1521
Solyc03g112010.2.1,1497
Solyc03g112050.2.1,1167
Solyc03g112060.2.1,2226
Solyc03g112070.2.1,1803
Solyc03g112080.1.1,960
Solyc03g112130.1.1,957
Solyc03g112140.2.1,1995
Solyc03g112150.1.1,1434
Solyc03g112190.2.1,2223
Solyc03g112230.2.1,2595
Solyc03g112270.2.1,1581
Solyc03g112280.2.1,3135
Solyc03g112290.2.1,324
Solyc03g112310.1.1,1989
Solyc03g112350.2.1,1956
Solyc03g112360.1.1,447
Solyc03g112380.1.1,234
Solyc03g112420.1.1,1668
Solyc03g112440.1.1,462
Solyc03g112450.2.1,786
Solyc03g112460.2.1,1335
Solyc03g112500.2.1,2337
Solyc03g112510.1.1,1467
Solyc03g112520.2.1,1029
Solyc03g112530.2.1,1446
Solyc03g112550.2.1,951
Solyc03g112560.2.1,1668
Solyc03g112570.2.1,471
Solyc03g112580.2.1,3318
Solyc03g112590.2.1,2496
Solyc03g112600.2.1,936
Solyc03g112620.2.1,1233
Solyc03g112630.2.1,1287
Solyc03g112640.2.1,789
Solyc03g112650.2.1,669
Solyc03g112660.2.1,4608
Solyc03g112670.2.1,1014
Solyc03g112720.2.1,450
Solyc03g112750.2.1,4371
Solyc03g112770.2.1,378
Solyc03g112790.2.1,930
Solyc03g112810.2.1,612
Solyc03g112820.2.1,1659
Solyc03g112830.2.1,2847
Solyc03g112850.2.1,318
Solyc03g112860.2.1,972
Solyc03g112870.2.1,1233
Solyc03g112880.1.1,1284
Solyc03g112900.2.1,501
Solyc03g112910.2.1,2706
Solyc03g112920.1.1,531
Solyc03g112940.2.1,4473
Solyc03g112950.2.1,4506
Solyc03g112960.1.1,828
Solyc03g112970.1.1,834
Solyc03g112990.1.1,729
Solyc03g113000.2.1,2373
Solyc03g113010.1.1,1326
Solyc03g113020.2.1,570
Solyc03g113030.2.1,1068
Solyc03g113060.2.1,2835
Solyc03g113090.2.1,1086
Solyc03g113100.2.1,459
Solyc03g113120.2.1,1575
Solyc03g113140.2.1,906
Solyc03g113190.1.1,3144
Solyc03g113220.2.1,858
Solyc03g113240.2.1,573
Solyc03g113250.2.1,1833
Solyc03g113280.2.1,717
Solyc03g113330.2.1,1683
Solyc03g113340.2.1,1635
Solyc03g113370.2.1,4959
Solyc03g113380.2.1,2772
Solyc03g113390.2.1,1617
Solyc03g113400.2.1,2871
Solyc03g113450.2.1,1806
Solyc03g113490.2.1,2052
Solyc03g113500.2.1,2292
Solyc03g113510.1.1,975
Solyc03g113520.2.1,2007
Solyc03g113540.2.1,774
Solyc03g113550.2.1,411
Solyc03g113560.2.1,309
Solyc03g113590.2.1,822
Solyc03g113610.2.1,1125
Solyc03g113620.2.1,948
Solyc03g113630.2.1,2583
Solyc03g113640.2.1,2460
Solyc03g113660.2.1,1053
Solyc03g113670.2.1,180
Solyc03g113680.2.1,1881
Solyc03g113700.2.1,1047
Solyc03g113710.2.1,2250
Solyc03g113720.2.1,588
Solyc03g113730.2.1,273
Solyc03g113740.2.1,1731
Solyc03g113750.1.1,1479
Solyc03g113760.2.1,1158
Solyc03g113770.2.1,1416
Solyc03g113780.2.1,1590
Solyc03g113790.2.1,1248
Solyc03g113800.2.1,1518
Solyc03g113860.1.1,867
Solyc03g113870.1.1,1587
Solyc03g113880.2.1,906
Solyc03g113900.2.1,1737
Solyc03g113910.2.1,441
Solyc03g113920.2.1,1686
Solyc03g113950.2.1,1224
Solyc03g113970.2.1,1749
Solyc03g113990.2.1,648
Solyc03g114010.1.1,1665
Solyc03g114020.2.1,564
Solyc03g114030.2.1,1578
Solyc03g114040.2.1,4026
Solyc03g114050.2.1,549
Solyc03g114060.2.1,4809
Solyc03g114070.2.1,633
Solyc03g114100.1.1,378
Solyc03g114110.2.1,2037
Solyc03g114120.2.1,567
Solyc03g114130.1.1,426
Solyc03g114140.2.1,3360
Solyc03g114150.2.1,1608
Solyc03g114170.2.1,183
Solyc03g114180.2.1,1377
Solyc03g114210.2.1,1176
Solyc03g114240.2.1,1905
Solyc03g114250.2.1,900
Solyc03g114280.2.1,1134
Solyc03g114290.2.1,930
Solyc03g114300.2.1,1206
Solyc03g114310.2.1,1056
Solyc03g114320.2.1,2193
Solyc03g114330.2.1,1200
Solyc03g114340.2.1,1428
Solyc03g114350.1.1,870
Solyc03g114370.2.1,1701
Solyc03g114380.2.1,2340
Solyc03g114390.1.1,834
Solyc03g114400.2.1,399
Solyc03g114410.2.1,2955
Solyc03g114450.2.1,1179
Solyc03g114460.2.1,2166
Solyc03g114470.2.1,756
Solyc03g114500.2.1,1467
Solyc03g114510.2.1,762
Solyc03g114520.2.1,741
Solyc03g114570.1.1,324
Solyc03g114580.2.1,1752
Solyc03g114590.2.1,1029
Solyc03g114640.2.1,2118
Solyc03g114660.1.1,2661
Solyc03g114670.2.1,441
Solyc03g114680.2.1,1497
Solyc03g114690.2.1,2970
Solyc03g114710.2.1,1350
Solyc03g114720.2.1,1671
Solyc03g114730.2.1,1500
Solyc03g114760.2.1,1011
Solyc03g114770.2.1,849
Solyc03g114780.2.1,3669
Solyc03g114790.2.1,948
Solyc03g114800.1.1,951
Solyc03g114810.2.1,1611
Solyc03g114850.2.1,798
Solyc03g114860.2.1,1056
Solyc03g114910.2.1,1377
Solyc03g114920.1.1,1569
Solyc03g114930.2.1,741
Solyc03g114940.2.1,1551
Solyc03g114950.2.1,1917
Solyc03g114960.2.1,1629
Solyc03g114970.2.1,336
Solyc03g114990.2.1,1368
Solyc03g115000.2.1,3279
Solyc03g115020.2.1,537
